timestamp,price
1762214413,0.605
1762300813,0.4
1762387208,0.36
1762473613,0.27
1762560010,0.37
1762646425,0.305
1762732809,0.26
1762819214,0.29
1762905613,0.325
1762992012,0.315
1763078412,0.33
1763164814,0.375
1763251210,0.365
1763337612,0.38
1763424010,0.34
1763510414,0.35
1763596810,0.355
1763683216,0.365
1763769611,0.385
1763856011,0.44
1763942412,0.45
1764028814,0.385
1764115212,0.395
1764201614,0.4
1764288013,0.365
1764374418,0.345
1764460813,0.425
1764547215,0.415
1764633611,0.395
1764720016,0.46
1764806412,0.44
1764892813,0.41
1764979213,0.38
1765065626,0.365
1765152025,0.355
1765238423,0.275
1765324811,0.335
1765411212,0.365
1765497612,0.385
1765584014,0.385
1765670414,0.375
1765756815,0.355
1765843213,0.36
1765929609,0.375
1765929633,0.375
1766016022,0.435
1766102413,0.385
1766188812,0.395
1766275212,0.395
1766361612,0.375
1766448014,0.39
1766534414,0.375
1766620823,0.35
1766707211,0.315
1766793614,0.325
1766880014,0.305
1766966430,0.275
1767052817,0.295
1767139214,0.24
1767225614,0.225
1767312013,0.185
1767398413,0.165
