timestamp,price
1735689604,0.14
1735776003,0.155
1735862404,0.16
1735948803,0.16
1736035203,0.17
1736121603,0.17
1736208004,0.275
1736294403,0.315
1736380803,0.325
1736467204,0.32
1736553604,0.275
1736640004,0.285
1736726404,0.275
1736812803,0.285
1736899203,0.285
1736985604,0.25
1737072004,0.24
1737158404,0.265
1737244804,0.315
1737331204,0.265
1737417603,0.265
1737504003,0.255
1737590404,0.245
1737676803,0.245
1737763205,0.25
1737849604,0.235
1737936004,0.245
1738022404,0.22
1738108804,0.22
1738195205,0.215
1738281604,0.215
1738368005,0.2
1738454404,0.205
1738540805,0.2
1738627204,0.195
1738713604,0.2
1738800005,0.185
1738886404,0.19
1738972804,0.19
1739059206,0.19
1739145605,0.19
1739232004,0.19
1739318404,0.19
1739404804,0.19
1739491205,0.195
1739577604,0.185
1739664004,0.185
1739750404,0.185
1739836804,0.185
1739923204,0.185
1740009604,0.19
1740096005,0.19
1740182405,0.19
1740268804,0.19
1740355204,0.19
1740441604,0.185
1740528005,0.185
1740614405,0.185
1740700805,0.195
1740787205,0.195
1740873605,0.195
1740960005,0.2
1741046405,0.2
1741132804,0.2
1741219205,0.205
1741305605,0.205
1741392005,0.2
1741478405,0.2
1741564804,0.2
1741651205,0.2
1741737605,0.205
1741824006,0.205
1741910405,0.205
1741996804,0.205
1742083204,0.195
1742169604,0.195
1742256005,0.195
1742342405,0.21
1742428805,0.215
1742515205,0.195
1742601606,0.195
1742688006,0.195
1742774405,0.195
1742860806,0.2
1742947205,0.2
1743033606,0.2
1743120006,0.185
1743206406,0.185
1743292806,0.185
1743379205,0.185
1743465605,0.185
1743552006,0.175
1743638405,0.175
1743724805,0.165
1743811205,0.165
1743897605,0.17
1743984006,0.165
1744070406,0.16
1744156806,0.16
1744243205,0.16
1744329605,0.16
1744416006,0.16
1744502405,0.17
1744588805,0.17
1744675205,0.17
1744761605,0.19
1744848006,0.18
1744934404,0.175
1745020806,0.175
1745107206,0.18
1745193606,0.18
1745280006,0.18
1745366407,0.175
1745452806,0.175
1745539206,0.175
1745625606,0.175
1745712005,0.175
1745798405,0.175
1745884805,0.175
1745971206,0.175
1746057606,0.165
1746144006,0.16
1746230406,0.155
1746316805,0.16
1746403205,0.155
1746489606,0.165
1746576005,0.155
1746662406,0.155
1746748807,0.165
1746835206,0.165
1746921606,0.15
1747008006,0.135
1747094406,0.135
1747180807,0.135
1747267207,0.14
1747353606,0.14
1747440007,0.145
1747526406,0.14
1747612806,0.14
1747699206,0.135
1747785606,0.115
1747872007,0.115
1747958407,0.115
1748044807,0.12
1748131206,0.13
1748217607,0.13
1748304006,0.13
1748390406,0.13
1748476807,0.125
1748563207,0.12
1748649607,0.12
1748736007,0.12
1748822406,0.12
1748908807,0.12
1748995206,0.105
1749081606,0.105
1749168006,0.105
1749254407,0.105
1749340807,0.105
1749427207,0.105
1749513606,0.105
1749600007,0.105
1749686407,0.105
1749772807,0.105
1749859208,0.105
1749945608,0.105
1750032007,0.1
1750118408,0.1
1750204808,0.1
1750291207,0.11
1750377608,0.11
1750464008,0.11
1750550406,0.11
1750636807,0.105
1750723207,0.105
1750809607,0.105
1750896008,0.095
1750982407,0.1
1751068807,0.1
1751155208,0.1
1751241607,0.1
1751328008,0.1
1751414407,0.095
1751500808,0.1
1751587208,0.1
1751673608,0.095
1751760007,0.1
1751846407,0.095
1751932808,0.095
1752019207,0.095
1752105608,0.105
1752192008,0.105
1752278409,0.105
1752364808,0.105
1752451207,0.105
1752537608,0.105
1752624008,0.105
1752710408,0.105
1752796808,0.105
1752883209,0.105
1752969608,0.105
1753056007,0.105
1753142409,0.09
1753228809,0.09
1753315209,0.09
1753401609,0.09
1753488009,0.075
1753574410,0.075
1753660809,0.09
1753747210,0.095
1753833610,0.11
1753920008,0.125
1754006409,0.11
1754092809,0.095
1754179208,0.1
1754265607,0.105
1754352008,0.095
1754438409,0.095
1754524807,0.095
1754611208,0.105
1754697614,0.125
1754784005,0.12
1754870402,0.13
1754956809,0.135
1755043205,0.145
1755129605,0.13
1755216014,0.145
1755302408,0.15
1755388805,0.195
1755475207,0.19
1755561616,0.22
1755648003,0.28
1755734408,0.19
1755820804,0.235
1755907209,0.23
1755993607,0.235
1756080009,0.24
1756166407,0.19
1756252810,0.195
1756339204,0.215
1756425604,0.205
1756512007,0.21
1756598418,0.165
1756684814,0.185
1756771208,0.185
1756857604,0.185
1756944012,0.155
1757030408,0.145
1757116812,0.135
1757203205,0.165
1757289612,0.115
1757376012,0.155
1757462414,0.145
1757548812,0.155
1757635214,0.125
1757721609,0.135
1757808007,0.135
1757894403,0.125
1757980805,0.125
1758067216,0.125
1758153608,0.125
1758240013,0.115
1758326419,0.115
1758412802,0.13
1758499208,0.135
1758585610,0.125
1758672011,0.13
1758758402,0.13
1758844815,0.125
1758931205,0.135
1759017611,0.125
1759104006,0.125
1759190405,0.15
1759276808,0.165
1759363206,0.155
1759449609,0.145
1759536009,0.135
1759622408,0.145
1759708809,0.155
1759795205,0.145
1759881610,0.155
1759968007,0.145
1760054419,0.155
1760140810,0.19
1760227216,0.185
1760313613,0.195
1760400010,0.16
1760486409,0.165
1760572822,0.175
1760659213,0.175
1760745608,0.205
1760832021,0.225
1760918421,0.215
1761004812,0.185
1761091217,0.195
1761177609,0.185
1761264014,0.21
1761350413,0.245
1761436815,0.235
1761523214,0.235
1761609617,0.215
1761696016,0.245
1761782416,0.23
1761868811,0.22
1761955215,0.285
1762041613,0.245
1762128013,0.235
1762214415,0.215
1762300815,0.165
1762387210,0.205
1762473615,0.125
1762560011,0.17
1762646427,0.155
1762732811,0.125
1762819216,0.125
1762905615,0.135
1762992015,0.145
1763078414,0.165
1763164816,0.165
1763251212,0.165
1763337615,0.165
1763424012,0.155
1763510418,0.145
1763596812,0.145
1763683218,0.15
1763769613,0.165
1763856014,0.225
1763942413,0.25
1764028816,0.205
1764115214,0.155
1764201616,0.165
1764288015,0.165
1764374421,0.145
1764460816,0.23
1764547217,0.175
1764633612,0.225
1764720018,0.225
1764806413,0.165
1764892814,0.155
1764979215,0.145
1765065628,0.135
1765152027,0.115
1765238425,0.085
1765324813,0.105
1765411213,0.075
1765497614,0.085
1765584015,0.075
1765670416,0.075
1765756817,0.075
1765843214,0.055
1765929611,0.0425
1765929634,0.0425
1766016023,0.0705
1766102414,0.044
1766188814,0.0475
1766275214,0.0265
1766361614,0.029
1766448016,0.0405
1766534416,0.034
1766620825,0.0235
1766707212,0.039
1766793615,0.0355
1766880016,0.0175
1766966432,0.011
1767052819,0.0055
1767139215,0.0025
1767225616,0.0015
