timestamp,price
1718668803,0.55
1718755203,0.325
1718841604,0.23
1718928003,0.19
1719014402,0.185
1719100803,0.15
1719187203,0.15
1719273603,0.145
1719360003,0.155
1719446402,0.295
1719532803,0.29
1719619202,0.275
1719705602,0.215
1719792002,0.215
1719878403,0.105
1719964802,0.11
1720051203,0.11
1720137602,0.11
1720224002,0.11
1720310402,0.085
1720396802,0.085
1720483202,0.075
1720569603,0.075
1720656003,0.075
1720742402,0.08
1720828803,0.075
1720915202,0.085
1721001603,0.085
1721088002,0.11
1721174401,0.235
1721260802,0.17
1721347201,0.115
1721433601,0.115
1721520001,0.105
1721606401,0.105
1721692801,0.135
1721779201,0.145
1721865601,0.12
1721952002,0.085
1722038402,0.08
1722124802,0.09
1722211202,0.095
1722297601,0.095
1722384002,0.09
1722470402,0.085
1722556801,0.095
1722643202,0.085
1722729601,0.085
1722816001,0.085
1722902401,0.085
1722988801,0.23
1723075201,0.195
1723161602,0.285
1723248002,0.22
1723334401,0.185
1723420801,0.175
1723507202,0.145
1723593602,0.145
1723680002,0.135
1723766402,0.125
1723852802,0.115
1723939202,0.115
1724025602,0.135
1724112001,0.125
1724198402,0.125
1724284802,0.125
1724371202,0.17
1724457602,0.165
1724544001,0.17
1724630402,0.17
1724716801,0.165
1724803201,0.165
1724889602,0.165
1724976002,0.24
1725062402,0.2
1725148802,0.245
1725235202,0.26
1725321602,0.225
1725408002,0.58
1725494402,0.425
1725580802,0.475
1725667202,0.39
1725753602,0.39
1725840001,0.435
1725926402,0.395
1726012801,0.395
1726099202,0.38
1726185602,0.825
1726272002,0.765
1726358402,0.695
1726444802,0.69
1726531202,0.695
1726617602,0.225
1726704001,0.265
1726790402,0.31
1726876802,0.335
1726963202,0.39
1727049602,0.32
1727136002,0.37
1727222402,0.325
1727308802,0.365
1727395202,0.355
1727481602,0.365
1727568003,0.345
1727654403,0.375
1727740802,0.41
1727827202,0.37
1727913602,0.365
1728000002,0.345
1728086402,0.335
1728172802,0.315
1728259202,0.315
1728345602,0.43
1728432002,0.33
1728518402,0.35
1728604803,0.44
1728691202,0.675
1728777603,0.67
1728864002,0.855
1728950402,0.845
1729036803,0.9955
1729123202,0.9875
1729209602,0.9975
